date,open,high,low,close,volume
1999-01-04,32.8125,36.75,32.8125,35.8125,31864700
1999-01-11,35.8125,35.875,32.8125,33.6875,17302600
1999-01-18,33.6875,34.75,32.5625,34.5,17114800
1999-01-25,34.8125,36.4375,34.25,34.6875,23430700
1999-02-01,34.6875,37.6875,33.75,37.25,22182200
1999-02-08,37.25,37.375,35,35.5625,13167100
1999-02-15,35.5625,36.6875,35.25,35.6875,10533300
1999-02-22,35.6875,37.5,34.4375,35.625,19512900
1999-03-01,35.5,36,33.5,35.5625,16108600
1999-03-08,35.5625,35.625,33.75,35.125,14492500
1999-03-15,35.125,36.5625,34,34,20732700
1999-03-22,34.1875,35.125,34,34.8125,16498300
1999-03-29,34.8125,35.25,33.5,33.9375,10989300
1999-04-05,33.9375,35.4375,33.875,35.0625,14719000
1999-04-12,35.0625,43,34.4375,39.625,47495400
1999-04-19,39.625,41.25,39.1875,40.5,22010000
1999-04-26,40.375,41.875,38.8125,40.625,16650600
1999-05-03,40.625,45.875,40.5,45.75,23877500
1999-05-10,45.75,45.8125,41,43,12533000
1999-05-17,43,45.25,41.875,44.9375,14355100
1999-05-24,44.9375,45.8125,40,42.0625,16608800
1999-05-31,42.0625,43.9375,41.25,43.9375,7971000
1999-06-07,43.875,43.875,41.3125,42.625,12157200
1999-06-14,42.25,44.75,40.8125,44.625,13414900
1999-06-21,44.0625,44.625,41.8125,43.5625,13405600
1999-06-28,43.5625,44.375,42.5,44.0625,12089200
1999-07-05,43.375,44.9375,42.25,44.5625,10112700
1999-07-12,44.5625,48.5,43.8125,46,25102800
1999-07-19,46,46.8125,44.3125,46.625,13825000
1999-07-26,46.25,46.5625,44.4375,45.375,11342500
1999-08-02,45.375,47.125,45,46.5625,13293000
1999-08-09,46.5625,46.8125,45.1875,45.375,9676400
1999-08-16,45.375,46.5,45.0625,45.75,9477800
1999-08-23,45.875,46.375,43.625,43.8125,13289500
1999-08-30,44.4375,46,44.125,45.4375,15829900
1999-09-06,45.4375,45.75,44.3125,45.25,7835700
1999-09-13,45,45.0625,43.625,43.625,11229300
1999-09-20,43.625,43.9375,41.0625,42.0625,13731600
1999-09-27,42.0625,43.3125,41.4375,42.875,10345000
1999-10-04,43.0625,44.125,41.9375,42,10274700
1999-10-11,42,44.375,39.125,42.5,25278200
1999-10-18,42.5,45.4375,41.625,44.625,17079600
1999-10-25,44.625,46.4375,44.0625,46.0625,14458700
1999-11-01,44.9375,44.9375,42.25,44.3125,24684500
1999-11-08,44.3125,44.875,40.8125,41.3125,22566500
1999-11-15,40.875,44,39.8125,43.6875,19518900
1999-11-22,43.5,43.5,40.6875,41.0625,9319800
1999-11-29,41.0625,42.125,39.625,40.375,15799800
1999-12-06,40.0625,40.0625,37.0625,39.125,22935400
1999-12-13,39.0625,40.5625,37.25,38.3125,25119400
1999-12-20,38.3125,41.3125,37.875,41.1875,14369000
1999-12-27,41.1875,41.9375,40.8125,41.4375,9381000
2000-01-03,41.4375,44.875,39.75,44.3125,24792500
2000-01-10,44.3125,44.5,42,44,14051300
2000-01-17,44,48.125,43.125,45.6875,30657000
2000-01-24,45.6875,46.875,43.625,44.625,17080700
2000-01-31,44.5625,45.1875,42.5625,44,14199400
2000-02-07,43.875,43.875,38.375,39.875,20850500
2000-02-14,39.6875,39.6875,35.875,36,18950600
2000-02-21,36,39.9375,35.875,37.8125,16033600
2000-02-28,37.625,37.625,35.375,35.9375,17866700
2000-03-06,35.9375,36.1875,32.3125,32.375,18932700
2000-03-13,32.375,38.9375,32,38,32040000
2000-03-20,37.6875,37.6875,34.8125,36,23189300
2000-03-27,36.125,38.9375,36.125,37.8125,18272600
2000-04-03,37.75,38.25,35.375,35.6875,15510800
2000-04-10,35.625,38.375,34.75,35.375,15985500
2000-04-17,35.375,40.25,34.0625,40.0625,21000400
2000-04-24,40.0625,41.25,37.5,39.6875,26047900
2000-05-01,39.6875,40.1875,36.8125,39.5,14525600
2000-05-08,39.5,39.5,36.5625,37.1875,15996500
2000-05-15,37.1875,37.875,36.25,36.9375,13713000
2000-05-22,36.9375,39,36.25,38.25,15607700
2000-05-29,38.5625,40.5625,38.5625,39.875,10296200
2000-06-05,39.4375,40.1875,37.6875,39.1875,13462300
2000-06-12,39.0625,41,37.6875,39.25,18255600
2000-06-19,39.25,40.125,38.3125,39.875,13414800
2000-06-26,39.875,42.25,39.3125,41.8125,17547600
2000-07-03,41.8125,44.0625,41.4375,43.75,14145200
2000-07-10,43.75,45.125,43,44.4375,15803000
2000-07-17,44.4375,47.3125,43.3125,46.8125,27427700
2000-07-24,46.8125,50.25,46.6875,48.8125,27137200
2000-07-31,48.8125,49.9375,48.3125,49,17738300
